Chl_a,Depth (m),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm·cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3- -N),Nitrate(mV),External Voltage(V),BGA-PC (microg/L),bloomstatus
0.597517647,0.5,0,1.2509,0,0,6.00E-11,10000000,0.9962,0,0.9139,28.3,768.76,0.4159,0.4971,0,0,15.3643,48.55685456,0
0.641832353,0.5,0,1.2526,0,0,4.00E-11,10000000,0.9962,0,0.9132,28.3,768.76,0.42,0.5001,0,0,15.3637,48.52395734,0
0.686146471,0.5,0,1.2544,0,0,5.00E-12,10000000,0.9962,0,0.9125,28.3,768.77,0.4241,0.503,0,0,15.3631,48.49104438,0
0.730460588,0.5,0,1.2562,0,0,0.00E+00,10000000,0.9962,0,0.9119,28.3,768.77,0.4282,0.506,0,0,15.3625,48.4581256,0
0.774775294,0.5,0,1.2579,0,0,0.00E+00,10000000,0.9962,0,0.9112,28.3,768.78,0.4323,0.5089,0,0,15.362,48.42519604,0
0.819089412,0.5,0,1.2597,0,0,0.00E+00,10000000,0.9962,0,0.9106,28.3,768.78,0.4365,0.5118,0,0,15.3614,48.3922507,0
0.863403529,0.5,0,1.2614,0,0,0.00E+00,10000000,0.9962,0,0.9099,28.3,768.78,0.4406,0.5148,0,0,15.3608,48.35929952,0
0.907718235,0.5,0,1.2632,0,0,0.00E+00,10000000,0.9962,0,0.9092,28.3,768.79,0.4447,0.5177,0,0,15.3602,48.32633254,0
0.952032353,0.5,0,1.2649,0,0,0.00E+00,10000000,0.9962,0,0.9086,28.3,768.79,0.4488,0.5207,0,0,15.3597,48.2933597,0
0.996346471,0.5,0,1.2667,0,0,0.00E+00,10000000,0.9962,0,0.9079,28.3,768.8,0.4529,0.5236,0,0,15.3591,48.26037602,0
1.923178235,1,0,1.2415,0,0,4.00E-10,10000000,0.9962,0,0.9098,28.27,767.35,1.082,0.9659,0,0,15.3738,48.35294913,1
1.975452353,1,0,1.245,0,0,4.00E-10,10000000,0.9962,0,0.9131,28.27,767.35,1.0864,0.9695,0,0,15.3729,48.51968713,1
2.598288824,1,0,1.1357,0,0,0.00E+00,10000000,0.9962,0,0.9349,28.26,767.31,1.11,0.9816,0,0,15.3803,49.59517213,1
2.436119412,1,0,1.1396,0,0,0.00E+00,10000000,0.9962,0,0.9314,28.26,767.31,1.1286,0.995,0,0,15.3798,49.426885,1
1.089887059,1,0,1.115,0,0,1.00E-11,10000000,0.9962,0,0.9047,28.26,767.31,1.2384,1.0085,0,0,15.3806,48.10065784,1
1.07459,1,0,1.1178,0,0,4.00E-11,10000000,0.9962,0,0.9066,28.26,767.32,1.2345,1.0102,0,0,15.3803,48.19671152,1
1.059292353,1,0,1.1206,0,0,7.00E-11,10000000,0.9962,0,0.9086,28.26,767.32,1.2306,1.0119,0,0,15.38,48.29267172,1
0.686654706,1,0,1.0844,0,0,4.00E-10,10000000,0.9962,0,0.9043,28.26,767.32,1.1629,1.0216,0,0,15.3817,48.08047262,0
0.679528824,1,0,1.0776,0,0,4.00E-10,10000000,0.9962,0,0.9077,28.26,767.32,1.1646,1.0225,0,0,15.3816,48.2516334,0
0.234542941,1,0,1.1389,0,0,5.00E-11,10000000,0.9962,0,0.8262,28.27,767.34,1.1631,1.0239,0,0,15.3883,44.09851716,0
0.106527059,1,0,1.134,0,0,3.00E-11,10000000,0.9962,0,0.8231,28.27,767.34,1.1707,1.0294,0,0,15.3889,43.935372,0
0.892321176,1,0,1.1954,0,0,5.00E-10,10000000,0.9962,0,0.9392,28.26,767.33,1.1866,1.0399,0,0,15.3735,49.8075783,0
0.92665,1,0,1.203,0,0,5.00E-10,10000000,0.9962,0,0.944,28.26,767.34,1.188,1.041,0,0,15.3727,50.04427176,0
0.599922353,0.5,0,1.2151,0,0,0.00E+00,10000000,0.9962,0,0.9043,27.98,768.62,0.4269,0.4848,0,0,15.3353,48.08220321,0
0.558133529,0.5,0,1.2128,0,0,0.00E+00,10000000,0.9962,0,0.9086,27.98,768.62,0.4434,0.4968,0,0,15.3347,48.29601488,0
0.915533529,0.5,0,1.1279,0,0,0.00E+00,10000000,0.9962,0,0.9029,28,768.54,0.4283,0.4993,0,0,15.3355,48.00940956,0
0.875760588,0.5,0,1.1309,0,0,1.00E-11,10000000,0.9962,0,0.9046,28,768.55,0.4418,0.5091,0,0,15.3349,48.09535204,0
0.736428235,0.5,0,1.1437,0,0,0.00E+00,10000000,0.996,0,0.9514,28.94,766.89,0.3839,0.4758,0,0,15.3359,50.40693336,0
0.009470588,0.5,0,1.2175,0,0,4.00E-11,10000000,0.996,0,0.9652,28.95,766.9,0.3858,0.4759,0,0,15.3366,51.07849436,0
0.686443529,0.5,0,1.1495,0,0,9.00E-12,10000000,0.996,0,0.951,28.94,766.89,0.3883,0.4789,0,0,15.3362,50.38699283,0
0.041882353,0.5,0,1.172,0,0,5.00E-10,10000000,0.996,0,0.9779,28.91,766.88,0.4072,0.4854,0,0,15.3346,51.69101215,0
