Site,Depth (m),Day,Chlorophyll-a Fluorescence (RFU),FDOM Fluorescence (RFU) ,Turbidity (NTU),Actual Conductivity  (uS/cm),Specific Conductivity(uS/cm),Salinity(PSU),Resistivity(ohm*cm),Density(g/cm^3),Total Dissolved Solids (ppt),BGA-PC Fluorescence(RFU),Temperature(C),Barometric Pressure(mm Hg),Pressure (psi),Depth(m),Nitrate(NO3-r -N),Nitrate(mV),External Voltage(V),Latitude,Longitude,BGA-PC (ug/L),Chl_a (ug/L),BGA-PC/ Chl-a,bloomstatus Chl-a,bloomstatus BGA-PC,bloomstatus BGA-PC/Chl-a
LP2,0.5,29-Apr,0.001016,0,1.2509,0,0,6.00E-11,10000000,0.9962,0,0.9139,28.3,768.76,0.4159,0.4971,0,0,15.3643,30.36910957,-90.18620683,48.55685456,0.597517647,81.26430207,0,0,0
LP2,0.5,29-Apr,0.001091,0,1.2526,0,0,4.00E-11,10000000,0.9962,0,0.9132,28.3,768.76,0.42,0.5001,0,0,15.3637,30.36910889,-90.18620862,48.52395734,0.641832353,75.60223026,0,0,0
LP2,0.5,29-Apr,0.001166,0,1.2544,0,0,5.00E-12,10000000,0.9962,0,0.9125,28.3,768.77,0.4241,0.503,0,0,15.3631,30.36911101,-90.18620772,48.49104438,0.686146471,70.67156421,0,0,0
LP2,0.5,29-Apr,0.001242,0,1.2562,0,0,0.00E+00,10000000,0.9962,0,0.9119,28.3,768.77,0.4282,0.506,0,0,15.3625,30.36911362,-90.18621324,48.4581256,0.730460588,66.33913779,0,0,0
LP2,0.5,29-Apr,0.001317,0,1.2579,0,0,0.00E+00,10000000,0.9962,0,0.9112,28.3,768.78,0.4323,0.5089,0,0,15.362,30.36911615,-90.18621624,48.42519604,0.774775294,62.50224603,0,0,0
LP2,0.5,29-Apr,0.001392,0,1.2597,0,0,0.00E+00,10000000,0.9962,0,0.9106,28.3,768.78,0.4365,0.5118,0,0,15.3614,30.36912259,-90.18621434,48.3922507,0.819089412,59.08054724,0,0,0
LP2,0.5,29-Apr,0.001468,0,1.2614,0,0,0.00E+00,10000000,0.9962,0,0.9099,28.3,768.78,0.4406,0.5148,0,0,15.3608,30.36912497,-90.18621502,48.35929952,0.863403529,56.0100786,0,0,0
LP2,0.5,29-Apr,0.001543,0,1.2632,0,0,0.00E+00,10000000,0.9962,0,0.9092,28.3,768.79,0.4447,0.5177,0,0,15.3602,30.36912771,-90.18621841,48.32633254,0.907718235,53.2393541,0,0,0
LP2,0.5,29-Apr,0.001618,0,1.2649,0,0,0.00E+00,10000000,0.9962,0,0.9086,28.3,768.79,0.4488,0.5207,0,0,15.3597,30.36912915,-90.18622295,48.2933597,0.952032353,50.72659511,0,0,0
LP2,0.5,29-Apr,0.001694,0,1.2667,0,0,0.00E+00,10000000,0.9962,0,0.9079,28.3,768.8,0.4529,0.5236,0,0,15.3591,30.36913142,-90.18622823,48.26037602,0.996346471,48.43734326,0,0,0
